source_id,topic,citation_hint,url,paper_positioning
gnn_sda_tmm_2024,Semi-supervised cross-domain MDD adaptation,"Chen et al. 2024, IEEE Transactions on Multimedia",https://doi.org/10.1109/TMM.2023.3312917,"GNN-SDA is a close depression-specific cross-domain baseline because it uses graph-based domain alignment and uncertainty-guided target optimization; MV26 uses it as an adapted stress-test family under our shared-item target contract."
red_acl_2025,Evidence retrieval for clinical-interview depression detection,"Zhang et al. 2025, Findings of ACL",https://aclanthology.org/2025.findings-acl.517/,"RED already uses retrieved transcript evidence for explainable depression detection, so MV06 should be framed as measurement-validity credibility support rather than a new evidence-retrieval method."
mirror_criterion_contamination_2025,Criterion contamination in language-based depression prediction,"Li et al. 2025, arXiv",https://arxiv.org/abs/2508.05830,"Mirror/non-mirror criterion contamination motivates MV20, our bounded CMDC-only protocol-label-overlap stress test over question-position embeddings and PHQ item semantics."
scd_mllm_2025,Generic cross-domain multimodal robustness,"Chen et al. 2026, Pattern Recognition",https://doi.org/10.1016/j.patcog.2026.113367,SCD-MLLM occupies the generic multi-dataset robust multimodal-model space; our paper should not compete on fusion architecture but on target comparability assumptions.
teng2026depressionllm,Foundation-model depression detection,"Teng et al. 2026, Displays",https://doi.org/10.1016/j.displa.2025.103304,DepressionLLM motivates treating multimodal foundation depression systems as strong representation-side baselines rather than solutions to target measurement validity.
nlp_psychometrics_2026,Emerging NLP psychometrics framing,"De Duro et al. 2026, arXiv",https://arxiv.org/abs/2608.07316,"NLP Psychometrics shows the broader framing is emerging; our differentiator is real clinical corpora, scale-item DIF, and multimodal transfer consequences."
bge_small_zh_model_card,Legacy BGE feature-contract caveat,BAAI bge-small-zh-v1.5 model card,https://huggingface.co/BAAI/bge-small-zh-v1.5,"The E-DAIC MV07 feature generator used a Chinese BGE model on English transcripts, so the old BGE-linked MV07-MV16 feature-level evidence is legacy/diagnostic; MV17a multilingual sensitivity reruns the paper-critical MV07/MV12/MV15 chain and reproduces the blocked pattern."
bge_m3_model_card,Multilingual BGE replacement contract,BAAI BGE-M3 model card,https://huggingface.co/BAAI/bge-m3,"BGE-M3 is the primary multilingual replacement encoder used in MV17a feature-contract sensitivity over E-DAIC, CMDC, and PDCH."
multilingual_e5_model_card,Second multilingual encoder sensitivity,Multilingual-E5-base model card,https://huggingface.co/intfloat/multilingual-e5-base,Multilingual-E5-base is the second encoder sensitivity so the rerun does not hinge on a single multilingual embedding family.
qwen3_embedding_text_foundation_2025,Text foundation embedding,"Zhang et al. 2025, arXiv",https://arxiv.org/abs/2506.05176,Qwen3-Embedding supports the executed MV22 strong text-backbone slice; the current paper does not claim instruction-tuned LLM fine-tuning.
qwen2024qwen25,Instruction-tuned LLM family,"Qwen Team 2024, official blog",https://qwenlm.github.io/blog/qwen2.5/,Qwen2.5 motivates the design-compatible instruction-tuned LLM extension; it is not an executed fine-tuning result in the current paper.
wavlm_speech_foundation_2022,Speech foundation representation,"Chen et al. 2022, arXiv",https://arxiv.org/abs/2110.13900,"WavLM supports the speech-foundation framing; MV22/MV23 execute cached WavLM base-plus proxy features, while WavLM Large remains future scope."
wav2vec2_speech_foundation_2020,Speech foundation representation,"Baevski et al. 2020, arXiv",https://arxiv.org/abs/2006.11477,"wav2vec2 supports the speech-foundation sensitivity framing; MV23 executes cached wav2vec2-base proxy features, not wav2vec2-large."
hubert_speech_foundation_2021,Speech foundation representation,"Hsu et al. 2021, arXiv",https://arxiv.org/abs/2106.07447,HuBERT motivates a future large speech-backbone sensitivity; HuBERT Large is not executed in the current bounded experiment set.
videomae_video_foundation_2022,Video foundation representation,"Tong et al. 2022, arXiv",https://arxiv.org/abs/2203.12602,"VideoMAE motivates future video-foundation sensitivity; MV23 uses OpenFace subject statistics as a lightweight video proxy, not VideoMAE."
ganin2016domain,Domain-adversarial baseline,"Ganin et al. 2016, JMLR",https://jmlr.org/papers/v17/15-239.html,Domain-adversarial training motivates DANN as a representation-alignment baseline family for MV22/MV23.
sun2016deepcoral,Correlation-alignment baseline,"Sun et al. 2016, AAAI",https://ojs.aaai.org/index.php/AAAI/article/view/10306,CORAL motivates covariance-alignment baselines that pressure representation shift without directly modeling target measurement.
long2015dan,MMD distribution-alignment baseline,"Long et al. 2015, ICML",https://proceedings.mlr.press/v37/long15.html,Deep Adaptation Networks motivate MMD-style distribution matching as a representation-side adaptation baseline.
arjovsky2019irm,Invariant-risk baseline,"Arjovsky et al. 2019, arXiv",https://arxiv.org/abs/1907.02893,IRM motivates invariant-predictor baselines; current PHQ transfer uses severity-environment proxies rather than a full multi-environment IRM claim.
sagawa2019groupdro,Group robustness baseline,"Sagawa et al. 2019, arXiv",https://arxiv.org/abs/1911.08731,GroupDRO motivates worst-group robustness baselines; current PHQ transfer uses severity-environment proxies under the bounded setting.
guo2017calibration,Prediction calibration,"Guo et al. 2017, ICML",https://proceedings.mlr.press/v70/guo17a.html,Modern neural calibration work supports reporting observed-scale safety and calibration gates alongside raw error.
lipton2018labelshift,Label shift,"Lipton et al. 2018, ICML",https://proceedings.mlr.press/v80/lipton18a.html,Label-shift correction motivates separating representation shift from target-distribution and target-measurement assumptions.
pdch_dataset,PDCH HAMD consultation data,PDCH dataset page,https://github.com/Miraclemarvel55/PDCH,"PDCH provides real consultation audio/text paired with professional HAMD-17 assessments, matching our bounded PDCH-only HAMD diagnostic claim."
